Schulstufe;Lehrperson;Aufgabe;Prozess;Selbstregulierung;Person;Summe
OS;l01;14;2;0;1;17
OS;l01;17;7;0;0;24
OS;l01;6;3;0;0;9
OS;l01;14;7;1;0;22
OS;l01;11;4;0;0;15
OS;l01;13;6;2;1;22
OS;l01;9;8;0;0;17
OS;l01;15;5;0;0;20
OS;l01;7;3;0;1;11
OS;l01;12;8;2;0;22
MS;l02;8;5;1;0;14
MS;l02;7;5;0;1;13
MS;l02;8;8;2;0;18
MS;l03;25;1;2;2;30
MS;l04;17;23;5;5;50
MS;l05;45;9;0;1;55
MS;l06;6;18;0;0;24
MS;l07;9;5;0;0;14
MS;l08;10;7;0;0;17
MS;l09;16;0;0;0;16
MS;l10;13;9;0;0;22
MS;l11;24;2;0;0;26
MS;l11;11;2;0;0;13
MS;l11;15;0;0;0;15
MS;l09;8;2;0;0;10
;;;;;;
;;Aufgabe;Prozess;Selbstregulierung;Person;
;Summe;340;149;15;12;516
;Maximum:;45;23;5;5;55
;Minimum:;6;0;0;0;9
;Median:;12;5;0;0;17
;Mittelwert:;13.6;5.96;0.6;0.48;20.64
